cometNo,time[msec],X,Y,Velocity[nm/sec],angle[degree],normpix[µm^2],Distance
1,0,242,247,0,63,1985,0
2,0,289,279,0,22,1795,0
4,0,193,180,0,90,1743,0
6,0,271,247,0,34,3335,0
1,330,241,245,144,45,1696,0.288
2,330,284,277,347,45,1628,0.695
4,330,193,179,65,63,1333,0.129
6,330,268,245,233,27,2845,0.465
1,660,240,244,91,0,1320,0.182
2,660,281,274,274,0,1702,0.547
4,660,192,177,144,27,1077,0.288
5,660,223,220,0,45,2221,0
6,660,266,244,144,63,2913,0.288
1,990,239,244,65,45,1145,0.129
2,990,279,274,129,0,1568,0.258
4,990,188,175,288,27,1187,0.577
5,990,220,217,274,90,2036,0.547
6,990,265,242,144,45,2833,0.288
1,1320,238,243,91,0,1244,0.182
2,1320,277,274,129,90,1287,0.258
4,1320,186,174,144,45,1285,0.288
5,1320,220,217,0,0,2763,0
6,1320,263,240,182,27,3024,0.365
8,1320,58,60,0,45,3141,0
1,1650,237,243,65,45,1032,0.129
2,1650,277,273,65,45,1241,0.129
4,1650,185,173,91,51,1157,0.182
6,1650,261,239,144,45,3002,0.288
8,1650,57,59,91,72,3393,0.182
1,1980,236,242,91,63,1087,0.182
2,1980,275,271,182,90,1301,0.365
6,1980,260,238,91,0,3141,0.182
7,1980,249,229,0,45,3078,0
8,1980,56,56,204,45,3422,0.408
1,2310,235,240,144,45,1251,0.288
2,2310,275,272,65,72,1184,0.129
6,2310,261,238,65,90,3441,0.129
7,2310,246,226,274,63,2822,0.547
8,2310,53,53,274,63,3479,0.547
1,2640,233,238,182,63,1267,0.365
6,2640,261,238,0,45,3451,0
7,2640,245,224,144,0,3275,0.288
8,2640,52,51,144,45,3470,0.288
1,2970,232,236,144,0,1137,0.288
6,2970,260,237,91,0,3479,0.182
8,2970,51,50,91,56,3554,0.182
6,3300,258,237,129,72,3285,0.258
8,3300,49,47,233,45,3609,0.465
3,3630,273,266,0,0,1436,0
6,3630,257,234,204,0,3582,0.408
8,3630,50,48,91,90,3422,0.182
3,3960,273,263,194,63,1166,0.387
8,3960,50,48,0,44,3413,0
3,4290,272,261,144,56,1028,0.288
3,4620,270,258,233,0,914,0.465
9,5280,172,167,0,45,3432,0
9,5610,170,165,182,14,3451,0.365
9,5940,166,164,266,51,3393,0.532
10,5940,281,263,0,0,3403,0
9,6270,162,159,413,45,3275,0.826
10,6270,277,263,258,27,3295,0.516
9,6600,160,157,182,0,3275,0.365
10,6600,275,262,144,0,3393,0.288